;info;enunciado;options;ano;banca;orgao;prova
0;Ano: 2005 Banca: CESPE / CEBRASPE Órgão: TRE-GO Prova: CESPE - 2005 - TRE-GO - Técnico Judiciário - Área Administrativa;Ainda com relação à ordem social, assinale a opção correta.;"Alternativas
A
O texto da Constituição Federal admite a responsabilização penal de pessoa jurídica por crime contra o meio ambiente.
B
A Constituição Federal admite a união estável entre pessoas do mesmo sexo, devendo a lei, que inexiste, assegurar a sua conversão em casamento.
C
O planejamento familiar é imposto pelo Estado brasileiro àquelas famílias com mais de quatro filhos, devendo a mãe, se quiser, sofrer a denominada laqueadura, o que será de pronto atendido pelos estabelecimentos públicos de saúde.
D
O texto da Constituição Federal é silente quanto à gratuidade do transporte coletivo urbano aos maiores de 65 anos de idade, o que não impediu que tal direito fosse dado pelo recém-aprovado Estatuto do Idoso.
E
Para que haja a imputabilidade penal do menor de 18 anos de idade, é suficiente a aprovação de uma lei ordinária no Congresso Nacional.";2005;CESPE;TRE-GO ; CESPE - 2005 - TRE-GO - Técnico Judiciário - Área Administrativa
1;Ano: 2009 Banca: FCC Órgão: TJ-SE Prova: FCC - 2009 - TJ-SE - Analista Judiciário - Psicologia;A Lei no 10.741/03 que dispõe sobre o Estatuto do Idoso demonstra a preocupação da sociedade brasileira com seu novo perfil populacional. Por meio desse instrumento, para que uma pessoa seja considerada idosa ela deve ter completado;"Alternativas
A
50 anos ou mais.
B
55 anos ou mais.
C
60 anos ou mais.
D
65 anos ou mais.
E
70 anos ou mais.";2009;FCC;TJ-SE ; FCC - 2009 - TJ-SE - Analista Judiciário - Psicologia
2;Ano: 2010 Banca: FCC Órgão: DPE-SP Prova: FCC - 2010 - DPE-SP - Agente de Defensoria - Psicólogo;O Art. 97 do Estatuto do Idoso prevê que quem deixar de prestar assistência ao idoso ou mesmo recusar, retardar ou dificultar sua assistência à saúde, sem justa causa, ou ainda não pedir socorro à autoridade sofrerá;"Alternativas
A
encaminhamento ao Conselho Tutelar.
B
advertência da autoridade judiciária.
C
multa diária.
D
detenção e multa.
E
determinação de prestar serviços comunitários a uma instituição para idosos.";2010;FCC;DPE-SP ; FCC - 2010 - DPE-SP - Agente de Defensoria - Psicólogo
3;Ano: 2009 Banca: CESPE / CEBRASPE Órgão: DPE-AL Prova: CESPE - 2009 - DPE-AL - Defensor Público;Compete ao MP referendar transações envolvendo interesses e direitos dos idosos dispostos no Estatuto do Idoso.;"Alternativas
Certo
Errado";2009;CESPE;DPE-AL ; CESPE - 2009 - DPE-AL - Defensor Público
4;Ano: 2009 Banca: CESPE / CEBRASPE Órgão: DPE-AL Prova: CESPE - 2009 - DPE-AL - Defensor Público;Nos processos e procedimentos em que não for parte, o MP deve atuar obrigatoriamente na defesa dos direitos e interesses previstos no Estatuto do Idoso, hipótese em que terá vista dos autos antes das partes e não poderá juntar documentos.;"Alternativas
Certo
Errado";2009;CESPE;DPE-AL ; CESPE - 2009 - DPE-AL - Defensor Público
5;Ano: 2010 Banca: FCC Órgão: DPE-SP Prova: FCC - 2010 - DPE-SP - Agente de Defensoria - Psicólogo;O Art. 97 do Estatuto do Idoso prevê que quem deixar de prestar assistência ao idoso ou mesmo recusar, retardar ou dificultar sua assistência à saúde, sem justa causa, ou ainda não pedir socorro à autoridade sofrerá;"Alternativas
A
encaminhamento ao Conselho Tutelar.
B
advertência da autoridade judiciária.
C
multa diária.
D
detenção e multa.
E
determinação de prestar serviços comunitários a uma instituição para idosos.";2010;FCC;DPE-SP ; FCC - 2010 - DPE-SP - Agente de Defensoria - Psicólogo
6;Ano: 2009 Banca: CESPE / CEBRASPE Órgão: DPE-AL Prova: CESPE - 2009 - DPE-AL - Defensor Público;Compete ao MP referendar transações envolvendo interesses e direitos dos idosos dispostos no Estatuto do Idoso.;"Alternativas
Certo
Errado";2009;CESPE;DPE-AL ; CESPE - 2009 - DPE-AL - Defensor Público
7;Ano: 2009 Banca: CESPE / CEBRASPE Órgão: DPE-AL Prova: CESPE - 2009 - DPE-AL - Defensor Público;Nos processos e procedimentos em que não for parte, o MP deve atuar obrigatoriamente na defesa dos direitos e interesses previstos no Estatuto do Idoso, hipótese em que terá vista dos autos antes das partes e não poderá juntar documentos.;"Alternativas
Certo
Errado";2009;CESPE;DPE-AL ; CESPE - 2009 - DPE-AL - Defensor Público
8;Ano: 2009 Banca: CESPE / CEBRASPE Órgão: DPE-AL Prova: CESPE - 2009 - DPE-AL - Defensor Público;O MP pode atuar como substituto processual do idoso em situação de risco, quando os direitos reconhecidos no Estatuto do Idoso forem ameaçados em razão de sua condição pessoal.;"Alternativas
Certo
Errado";2009;CESPE;DPE-AL ; CESPE - 2009 - DPE-AL - Defensor Público
9;Ano: 2009 Banca: FCC Órgão: TCE-GO Provas: FCC - 2009 - TCE-GO - Analista de Controle Externo - Gestão de Pessoas ;A prioridade na tramitação dos processos e procedimentos administrativos e na execução dos atos e diligências administrativas é assegurada quando figure, em qualquer grau de instância, como requerente ou interveniente, pessoa com idade igual ou superior a;"Alternativas
A
55 anos.
B
60 anos.
C
65 anos.
D
70 anos.
E
75 anos.";2009;FCC;TCE-GO ; FCC - 2009 - TCE-GO - Analista de Controle Externo - Gestão de Pessoas 
10;Ano: 2009 Banca: FCC Órgão: DPE-MA Prova: FCC - 2009 - DPE-MA - Defensor Público;"O Estatuto do Idoso, e suas alterações posteriores, assegura direitos que, de uma forma geral, beneficiam pessoas a partir de 60 anos de idade. Figura como exceção à essa regra geral o direito
";"Alternativas
A
ao transporte gratuito, que favorece pessoas a partir de 70 anos de idade.
B
à tramitação processual prioritária, que favorece pessoas a partir de 55 anos de idade.
C
ao benefício mensal de um salário mínimo, nos termos da Lei Orgânica da Assistência Social - Loas, aplicável a partir de 65 anos de idade.
D
a descontos de pelo menos 50% nos ingressos para eventos artísticos, culturais, esportivos e de lazer, aplicável a partir de 70 anos de idade.
E
ao recebimento prioritário da restituição do Imposto de Renda, que beneficia pessoas a partir de 70 anos de idade.";2009;FCC;DPE-MA ; FCC - 2009 - DPE-MA - Defensor Público
11;Ano: 2009 Banca: FCC Órgão: DPE-MA Prova: FCC - 2009 - DPE-MA - Defensor Público;"Abandonar o idoso em hospitais, casas de saúde, entidades de longa permanência ou congêneres
";"Alternativas
A
caracteriza crime de ação penal privada.
B
caracteriza infração administrativa, sujeitando o infrator à pena de multa.
C
trata-se de mero ilícito civil, passível de ação indenizatória se comprovados os danos.
D
caracteriza crime de ação penal pública incondicionada.
E
configura violação de regra moral, irrelevante do ponto de vista jurídico.";2009;FCC;DPE-MA ; FCC - 2009 - DPE-MA - Defensor Público
12;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MPE-ES Prova: CESPE - 2010 - MPE-ES - Promotor de Justiça;"As entidades governamentais e não governamentais de assistência ao idoso estão sujeitas à inscrição de seus programas
";"Alternativas
A
exclusivamente no conselho municipal do idoso, que deverá efetuar a primeira vistoria das instalações em conjunto com a vigilância sanitária.
B
no Ministério da Saúde.
C
na promotoria do idoso.
D
junto ao órgão competente da vigilância sanitária e do conselho municipal da pessoa idosa e, em sua falta, junto ao conselho estadual ou ao Conselho Nacional da Pessoa Idosa.
E
diretamente junto ao conselho estadual da pessoa idosa, pois os conselhos municipais não têm competência para efetuar a inscrição.";2010;CESPE;MPE-ES ; CESPE - 2010 - MPE-ES - Promotor de Justiça
13;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MPE-ES Prova: CESPE - 2010 - MPE-ES - Promotor de Justiça;"Uma médica, ao atender um senhor com 84 anos de idade, no pronto-socorro de um hospital público, observou uma série de ferimentos e hematomas espalhados pelo corpo do idoso, o que a fez suspeitar de que este vinha sendo vítima de maustratos.

Nessa situação hipotética, a médica deverá
";"Alternativas
A
notificar unicamente a autoridade policial para que esta acione o MPE/ES, a quem cabe oferecer a denúncia ao Conselho Nacional do Idoso.
B
comunicar o fato à autoridade policial e só então, munida com o boletim de ocorrência, abrir uma representação no conselho municipal do idoso.
C
comunicar, obrigatoriamente, a suspeita de maus-tratos a qualquer um dos órgãos legalmente indicados para recebê-la, quais sejam: o MP, a autoridade policial ou os conselhos municipal ou estadual do idoso ou, ainda, o Conselho Nacional do Idoso.
D
comunicar o fato diretamente ao conselho estadual do idoso, por ser este o único órgão competente para receber tais denúncias.
E
abrir uma representação no MPE/ES, para que este, com exclusividade, acione o Conselho Nacional do Idoso.";2010;CESPE;MPE-ES ; CESPE - 2010 - MPE-ES - Promotor de Justiça
