;info;enunciado;options;ano;banca;orgao;prova
0;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Tendo como referência o Estatuto do Idoso, julgue o item que se segue.  




Além de instrumento jurídico que estabelece direitos, o Estatuto do Idoso constitui uma produção simbólica e conceitual que configura o idoso na cultura, legitimando práticas e políticas destinadas especificamente à população idosa. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social
1;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Tendo como referência o Estatuto do Idoso, julgue o item que se segue.  




Devido ao aumento na expectativa de vida da população brasileira, a idade mínima para que uma pessoa seja considerada idosa passou dos 60 anos para os 65 anos, para fins de aplicação do Estatuto do Idoso. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social
2;Ano: 2022 Banca: CESPE / CEBRASPE Órgão: SEE-PE Prova: CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social;"Tendo como referência o Estatuto do Idoso, julgue o item que se segue.  




O envelhecimento é um direito personalíssimo, sendo dever do Estado assegurar a proteção à vida e à saúde da população idosa. 
";"Alternativas
Certo
Errado";2022;CESPE;SEE-PE ; CESPE / CEBRASPE - 2022 - SEE-PE - Analista em Gestão Educacional - Serviço Social
3;Ano: 2005 Banca: CESPE / CEBRASPE Órgão: TRE-GO Prova: CESPE - 2005 - TRE-GO - Técnico Judiciário - Área Administrativa;Ainda com relação à ordem social, assinale a opção correta.;"Alternativas
A
O texto da Constituição Federal admite a responsabilização penal de pessoa jurídica por crime contra o meio ambiente.
B
A Constituição Federal admite a união estável entre pessoas do mesmo sexo, devendo a lei, que inexiste, assegurar a sua conversão em casamento.
C
O planejamento familiar é imposto pelo Estado brasileiro àquelas famílias com mais de quatro filhos, devendo a mãe, se quiser, sofrer a denominada laqueadura, o que será de pronto atendido pelos estabelecimentos públicos de saúde.
D
O texto da Constituição Federal é silente quanto à gratuidade do transporte coletivo urbano aos maiores de 65 anos de idade, o que não impediu que tal direito fosse dado pelo recém-aprovado Estatuto do Idoso.
E
Para que haja a imputabilidade penal do menor de 18 anos de idade, é suficiente a aprovação de uma lei ordinária no Congresso Nacional.";2005;CESPE;TRE-GO ; CESPE - 2005 - TRE-GO - Técnico Judiciário - Área Administrativa
4;Ano: 2009 Banca: FCC Órgão: TJ-SE Prova: FCC - 2009 - TJ-SE - Analista Judiciário - Psicologia;A Lei no 10.741/03 que dispõe sobre o Estatuto do Idoso demonstra a preocupação da sociedade brasileira com seu novo perfil populacional. Por meio desse instrumento, para que uma pessoa seja considerada idosa ela deve ter completado;"Alternativas
A
50 anos ou mais.
B
55 anos ou mais.
C
60 anos ou mais.
D
65 anos ou mais.
E
70 anos ou mais.";2009;FCC;TJ-SE ; FCC - 2009 - TJ-SE - Analista Judiciário - Psicologia
5;Ano: 2009 Banca: CESPE / CEBRASPE Órgão: DPE-AL Prova: CESPE - 2009 - DPE-AL - Defensor Público;O MP pode atuar como substituto processual do idoso em situação de risco, quando os direitos reconhecidos no Estatuto do Idoso forem ameaçados em razão de sua condição pessoal.;"Alternativas
Certo
Errado";2009;CESPE;DPE-AL ; CESPE - 2009 - DPE-AL - Defensor Público
6;Ano: 2009 Banca: FCC Órgão: TCE-GO Provas: FCC - 2009 - TCE-GO - Analista de Controle Externo - Gestão de Pessoas ;A prioridade na tramitação dos processos e procedimentos administrativos e na execução dos atos e diligências administrativas é assegurada quando figure, em qualquer grau de instância, como requerente ou interveniente, pessoa com idade igual ou superior a;"Alternativas
A
55 anos.
B
60 anos.
C
65 anos.
D
70 anos.
E
75 anos.";2009;FCC;TCE-GO ; FCC - 2009 - TCE-GO - Analista de Controle Externo - Gestão de Pessoas 
7;Ano: 2009 Banca: FCC Órgão: DPE-MA Prova: FCC - 2009 - DPE-MA - Defensor Público;"O Estatuto do Idoso, e suas alterações posteriores, assegura direitos que, de uma forma geral, beneficiam pessoas a partir de 60 anos de idade. Figura como exceção à essa regra geral o direito
";"Alternativas
A
ao transporte gratuito, que favorece pessoas a partir de 70 anos de idade.
B
à tramitação processual prioritária, que favorece pessoas a partir de 55 anos de idade.
C
ao benefício mensal de um salário mínimo, nos termos da Lei Orgânica da Assistência Social - Loas, aplicável a partir de 65 anos de idade.
D
a descontos de pelo menos 50% nos ingressos para eventos artísticos, culturais, esportivos e de lazer, aplicável a partir de 70 anos de idade.
E
ao recebimento prioritário da restituição do Imposto de Renda, que beneficia pessoas a partir de 70 anos de idade.";2009;FCC;DPE-MA ; FCC - 2009 - DPE-MA - Defensor Público
8;Ano: 2009 Banca: FCC Órgão: DPE-MA Prova: FCC - 2009 - DPE-MA - Defensor Público;"Abandonar o idoso em hospitais, casas de saúde, entidades de longa permanência ou congêneres
";"Alternativas
A
caracteriza crime de ação penal privada.
B
caracteriza infração administrativa, sujeitando o infrator à pena de multa.
C
trata-se de mero ilícito civil, passível de ação indenizatória se comprovados os danos.
D
caracteriza crime de ação penal pública incondicionada.
E
configura violação de regra moral, irrelevante do ponto de vista jurídico.";2009;FCC;DPE-MA ; FCC - 2009 - DPE-MA - Defensor Público
9;Ano: 2010 Banca: CESPE / CEBRASPE Órgão: MPE-ES Prova: CESPE - 2010 - MPE-ES - Promotor de Justiça;"As entidades governamentais e não governamentais de assistência ao idoso estão sujeitas à inscrição de seus programas
";"Alternativas
A
exclusivamente no conselho municipal do idoso, que deverá efetuar a primeira vistoria das instalações em conjunto com a vigilância sanitária.
B
no Ministério da Saúde.
C
na promotoria do idoso.
D
junto ao órgão competente da vigilância sanitária e do conselho municipal da pessoa idosa e, em sua falta, junto ao conselho estadual ou ao Conselho Nacional da Pessoa Idosa.
E
diretamente junto ao conselho estadual da pessoa idosa, pois os conselhos municipais não têm competência para efetuar a inscrição.";2010;CESPE;MPE-ES ; CESPE - 2010 - MPE-ES - Promotor de Justiça
